"STT","Tên","Giá bán căn hộ","Address","Bàn giao","Loại hình","Quy mô","Số tầng","Diện tích","Tọa độ","Image","Quận"
"12","VEROSA PARK Quận 9","140 tr/m2","Đường Võ Chí Công, đường Liên Phường, Phướng Phú Hữu, Quận 9, TPHCM","Quý I/2020","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 8,1 ha . Số Lượng: 296 biệt thự & nhà phố có sân vườn","Số hầm: , Chiều cao tầng:","75 - 251m2 (nhà phố), 483 - 527m2 (biệt thự)","10.805432894325381 106.79404855513405","https://angialand.com.vn/wp-content/uploads/2020/12/mo-hinh-du-an-verosa-park-khang-dien-600x375.jpg","9"
"13","THE MANHATTAN GLORY Quận 9","140-180 tr/m2","đường Nguyễn Xiển P. Long Thạnh Mỹ, Quận 9, TP.HCM","tháng 3/2020","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: từ 84 – 1300m2. Số Lượng: 800 căn","Số hầm: 01 , Chiều cao tầng: 03","48ha","10.834880681398394 106.83885188376846","https://angialand.com.vn/wp-content/uploads/2020/08/vinhomes-grand-park-the-manhattan-vs-glory-1-600x375.jpg","9"
"14","THE MANHATTAN Quận 9","140-180 tr/m2","Đường Nguyễn Xiển, Quận 9, TP HCM","Quý I 2021","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Số lượng: 550 căn","Số hầm; 01 . Chiều cao: 03 tầng","84m2-450m2","10.84328969384097 106.84222980848214","https://angialand.com.vn/wp-content/uploads/2020/08/vhgp_mht06-fix-2-600x375.jpg","9"
"15","THE RAINBOW Quận 9","30-35tr/m2","Đường Nguyễn Xiển, Quận 9","tháng 6/2020","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 20ha. Số Lượng: 17 toà nhà","Số hầm: 25-25 tầng","Khoảng 20ha","10.839053973522276 106.83596425502407","https://angialand.com.vn/wp-content/uploads/2020/08/phoi-canh-tong-thei-vinhomes-grand-park_4-1-600x375.jpg","9"
"16","HOJA VILLA Quận 9","tr/m2","Phường Phước Long B, Quận 9, Tp.HCM","03/2014","Nhà phố cao cấp, Thương Mại, Dịch Vụ,Văn Phòng, Shophouse, Officetel","Tổng diện tích: 8.079m2. Số Lượng: 29 căn Biệt thự liên kế vườn","Số hầm: , Chiều cao tầng:","Updating...","10.817472767882709 106.78561869993021","https://angialand.com.vn/wp-content/uploads/2020/06/phoi-canh-du-an-nha-pho-hoja-villa-quan-9-chu-dau-tu-khang-dien_3-600x375.jpg","9"
"17","MEGA VILLAGE Quận 9","tr/m2","mặt tiền đường Vành Đai Trong, góc Long Thành - Dầu Giây, Quận 9","Quý II/2015","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 57.556 m2. Số Lượng: 323 căn hộ","Số hầm: , Chiều cao tầng:","157 m2 , 334,5 m2","10.78490790460259 106.79065608137279","https://angialand.com.vn/wp-content/uploads/2020/06/mua-ban-cho-thue-du-an-nha-pho-mega-village-duong-vanh-dai-trong-quan-9-10-1-600x375.jpg","9"
"18","MEGA RESIDENCE","tr/m2","Đường Vành đai trong, thuộc phường Phú Hữu, Quận 9, TP HCM","Năm 2016","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 32.048 m2. Số Lượng: 160 căn","Số hầm: , Chiều cao tầng:","Updating...","10.799848135603204 106.79310983589096","https://angialand.com.vn/wp-content/uploads/2020/06/phoi-canh-du-an-nha-pho-mega-residence-duong-vanh-dai-trong-quan-9-600x375.jpg","9"
"19","LUCASTA","32tr/m2","Đường Liên Phường, Quận 9","2019","Biệt Thự","Tổng diện tích: m2. Số Lượng:","Số hầm: , Chiều cao tầng:","68-75-78-80-95m2","10.804080437688919, 106.79769181527276","https://angialand.com.vn/wp-content/uploads/2019/07/chu-dau-tu-can-ho-chung-cu-lovera-vista-duong-trinh-quang-nghi-binh-chanh_2.jpg","9"
"20","MELOSA GARDEN","80-90 tr/m2","Đường Vành Đai Trong, phường Phú Hữu, Quận 9, Tp.HCM","Năm 2017","Nhà phố cao cấp, Thương Mại, Dịch Vụ,Văn Phòng, Shophouse, Officetel","Tổng diện tích: 17,3 ha. Số Lượng: 442 căn nhà phố và biệt thự","Xây dựng: 1 trệt, 2 lầu","172,5 m2 - 242,5 m2","10.781093276334618 106.79254173404138","https://angialand.com.vn/wp-content/uploads/2020/06/phoi-canh-du-an-nha-pho-melosa-garden-duong-vanh-dai-trong-quan-9-600x375.jpg","9"
"21","MEGA RUBY Quận 9","46-55tr/m2","Giao lộ cao tốc TP.HCM – Long Thành – Dầu Giây và Đường Vành đai trong, Quận 9, TP.HCM","2014","Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 50.000m2. Số Lượng: 279 căn nhà liên kế","Xây dựng 1 trệt , 2 lầu","5x10, 6x9, 5x13,5 5,4x13.5","10.800138580267255 106.79302804938399","https://angialand.com.vn/wp-content/uploads/2020/05/phoi-canh-du-an-nha-pho-mega-ruby-quan-9-chu-dau-tu-khang-dien-2-600x375.jpg","9"
